Initial Metabolite	IDs of rxns added	IDs of rxns added from outer loop	IDs of rxns added from inner loop	Tracer symbols of rxns	Tracer Symbols for outer loop rxns	Tracer symbols for inner loop rxns values	Full rxn values	Outer rxn values	Inner rxn values	All rxns looped through in inner loop	Reversibilities	Reversibilities from outer loop	Reversibilities from inner loop	Compounds	Compounds from outer loop	Compounds from inner loop	Trace numbers	Trace numbers from outer loop	Trace numbers from inner loop	Level of rulebreaking applied	skipAdd active?	randPerm active?	Successful/unsuccessful trial	Confidence score result in failure?
cpd03566[d]	(Transport_cd_cpd03566[d])	(Transport_cd_cpd03566[d])		[(T)]	[(T)]		(cpd03566[c] <=> cpd03566[d])	(cpd03566[c] <=> cpd03566[d])			(1)	(1)		(*cpd03566[d]*)(cpd03566[c])	(*cpd03566[d]*)(cpd03566[c])		(1)	(1)		0	1	1	3	0
cpd00055[x]	(rxn00429[x]*)	(rxn00429[x]*)		[(8)]	[(8)]		(1 cpd00004[x] + 1 cpd00047[x] + 2 cpd00067[x] <=> 1 cpd00001[x] + 1 cpd00003[x] + 1 cpd00055[x])	(1 cpd00004[x] + 1 cpd00047[x] + 2 cpd00067[x] <=> 1 cpd00001[x] + 1 cpd00003[x] + 1 cpd00055[x])			(1)	(1)		(cpd00001[x])(cpd00003[x])(*cpd00055[x]*)(cpd00004[x])(cpd00047[x])(cpd00067[x])	(cpd00001[x])(cpd00003[x])(*cpd00055[x]*)(cpd00004[x])(cpd00047[x])(cpd00067[x])		(1)	(1)		0	0	0	1	0
cpd14935[d]	(Transport_cx_cpd14935[x]*)	(Transport_cx_cpd14935[x]*)		[(T)]	[(T)]		(cpd14935[c] <=> cpd14935[x])	(cpd14935[c] <=> cpd14935[x])			(1)	(1)		(cpd14935[c]*)(cpd14935[x])	(cpd14935[c]*)(cpd14935[x])		(1)	(1)		0	0	0	0	1
cpd14935[d]	(Transport_cd_cpd14935[d]*)	(Transport_cd_cpd14935[d]*)		[(T)]	[(T)]		(cpd14935[c] <=> cpd14935[d])	(cpd14935[c] <=> cpd14935[d])			(1)	(1)		(*cpd14935[d]*)(cpd14935[c]*)	(*cpd14935[d]*)(cpd14935[c]*)		(1)	(1)		0	0	0	0	0
cpd14935[d]	(Transport_cx_cpd14935[x]*)	(Transport_cx_cpd14935[x]*)		[(T)]	[(T)]		(cpd14935[c] <=> cpd14935[x])	(cpd14935[c] <=> cpd14935[x])			(1)	(1)		(cpd14935[c]*)(cpd14935[x])	(cpd14935[c]*)(cpd14935[x])		(1)	(1)		0	1	1	0	1
cpd14935[d]	(Transport_cd_cpd14935[d]*)	(Transport_cd_cpd14935[d]*)		[(T)]	[(T)]		(cpd14935[c] <=> cpd14935[d])	(cpd14935[c] <=> cpd14935[d])			(1)	(1)		(*cpd14935[d]*)(cpd14935[c]*)	(*cpd14935[d]*)(cpd14935[c]*)		(1)	(1)		0	1	0	0	0
cpd14935[d]	(Transport_cx_cpd14935[x]*)	(Transport_cx_cpd14935[x]*)		[(T)]	[(T)]		(cpd14935[c] <=> cpd14935[x])	(cpd14935[c] <=> cpd14935[x])			(1)	(1)		(cpd14935[c]*)(cpd14935[x])	(cpd14935[c]*)(cpd14935[x])		(1)	(1)		2	0	0	0	1
cpd14935[d]	(Transport_cd_cpd14935[d]*)	(Transport_cd_cpd14935[d]*)		[(T)]	[(T)]		(cpd14935[c] <=> cpd14935[d])	(cpd14935[c] <=> cpd14935[d])			(1)	(1)		(*cpd14935[d]*)(cpd14935[c]*)	(*cpd14935[d]*)(cpd14935[c]*)		(1)	(1)		2	0	0	0	0
cpd14935[d]	(Transport_cx_cpd14935[x]*)	(Transport_cx_cpd14935[x]*)		[(T)]	[(T)]		(cpd14935[c] <=> cpd14935[x])	(cpd14935[c] <=> cpd14935[x])			(1)	(1)		(cpd14935[c]*)(cpd14935[x])	(cpd14935[c]*)(cpd14935[x])		(1)	(1)		2	1	1	0	1
cpd14935[d]	(Transport_cd_cpd14935[d]*)	(Transport_cd_cpd14935[d]*)		[(T)]	[(T)]		(cpd14935[c] <=> cpd14935[d])	(cpd14935[c] <=> cpd14935[d])			(1)	(1)		(*cpd14935[d]*)(cpd14935[c]*)	(*cpd14935[d]*)(cpd14935[c]*)		(1)	(1)		2	1	0	3	0
cpd00327[c]	(rxn09449[c]*)	(rxn09449[c]*)		[(9)]	[(9)]		(1 cpd00002[c] + 1 cpd00010[c] + 1 cpd01080[c] => 1 cpd00012[c] + 1 cpd00018[c] + 1 cpd00067[c] + 1 cpd00327[c])	(1 cpd00002[c] + 1 cpd00010[c] + 1 cpd01080[c] => 1 cpd00012[c] + 1 cpd00018[c] + 1 cpd00067[c] + 1 cpd00327[c])			(0)	(0)		(cpd00012[c])(cpd00018[c])(cpd00067[c])(*cpd00327[c]*)(cpd00002[c])(cpd00010[c])(cpd01080[c])	(cpd00012[c])(cpd00018[c])(cpd00067[c])(*cpd00327[c]*)(cpd00002[c])(cpd00010[c])(cpd01080[c])		(1)	(1)		0	0	0	1	0
cpd02060[x]	(RXN-11026-LAUROYLCOA-CPD/OXYGEN-MOLECULE//CPD-7222/HYDROGEN-PEROXIDE.59.[x]*)	(RXN-11026-LAUROYLCOA-CPD/OXYGEN-MOLECULE//CPD-7222/HYDROGEN-PEROXIDE.59.[x]*)		[(5)]	[(5)]		(cpd01260[x] + cpd00007[x] => cpd02060[x] + cpd00025[x])	(cpd01260[x] + cpd00007[x] => cpd02060[x] + cpd00025[x])			(0)	(0)		(*cpd02060[x]*)(cpd00025[x])(cpd01260[x])(cpd00007[x])	(*cpd02060[x]*)(cpd00025[x])(cpd01260[x])(cpd00007[x])		(1)	(1)		0	0	0	1	0
cpd03114[c]																				0	0	0	3	0
